City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,chuy,-33.6971,-53.4616,297.19,86,1,5.38,UY,1678851164
85,sechura,-5.5569,-80.8222,298.79,82,99,2.99,PE,1678851164
86,takoradi,4.8845,-1.7554,299.62,85,5,3.76,GH,1678851164
87,lompoc,34.6391,-120.4579,288.58,83,100,6.71,US,1678851123
88,sitka,57.0531,-135.33,275.09,55,100,5.14,US,1678851165
89,sao caetano de odivelas,-0.75,-48.02,296.2,95,100,0.39,BR,1678851165
90,rikitea,-23.1203,-134.9692,299.46,68,0,3.25,PF,1678851166
91,port alfred,-33.5906,26.891,294.92,97,86,2.68,ZA,1678851166
92,quatre cocos,-20.2078,57.7625,299.31,68,76,6.35,MU,1678851167
93,bredasdorp,-34.5322,20.0403,293.78,94,98,7.18,ZA,1678851167
94,buraydah,26.326,43.975,291.4,28,0,5.12,SA,1678851048
95,halifax,44.6453,-63.5724,275.65,96,100,9.26,CA,1678850986
96,yarada,17.65,83.2667,300.33,74,5,1.03,IN,1678851167
97,paamiut,61.994,-49.6678,270.04,95,100,5.13,GL,1678851168
98,albany,42.6001,-73.9662,274.38,89,100,6.26,US,1678851001
99,vaini,-21.2,-175.2,302.24,70,20,6.17,TO,1678851168
100,pacific grove,36.6177,-121.9166,284.97,93,100,4.12,US,1678851169
101,puerto ayora,-0.7393,-90.3518,297.9,100,33,1.6,EC,1678851169
102,marovoay,-16.1,46.6333,296.59,82,100,1.33,MG,1678851169
103,hithadhoo,-0.6,73.0833,301.21,76,82,5.72,MV,1678851170
104,yerbogachen,61.2767,108.0108,262.72,89,97,2.84,RU,1678851170
105,shipunovo,52.1582,82.2173,272.18,87,91,2.1,RU,1678851170
106,dikson,73.5069,80.5464,265.81,93,98,12.58,RU,1678851171
107,magoula,38.0833,23.5167,284.9,81,40,0.0,GR,1678851171
108,constitucion,-35.3333,-72.4167,286.77,65,0,1.95,CL,1678851171
109,berlevag,70.8578,29.0864,272.12,80,100,8.75,NO,1678851172
110,toledo,39.8333,-4.0,282.77,64,6,0.97,ES,1678851172
111,talnakh,69.4865,88.3972,268.82,83,100,8.62,RU,1678851173
112,sao felix do xingu,-6.6447,-51.995,295.17,100,100,0.79,BR,1678851173
113,hofn,64.2539,-15.2082,265.56,62,0,9.22,IS,1678851173
114,estelle,29.8458,-90.1067,288.15,47,75,2.24,US,1678851174
115,yulara,-25.2406,130.9889,310.27,12,43,0.77,AU,1678851174
116,ponta do sol,32.6667,-17.1,289.5,78,18,1.22,PT,1678851174
117,vardo,70.3705,31.1107,273.14,59,20,4.63,NO,1678851175
118,luanda,-8.8368,13.2343,297.92,84,100,4.31,AO,1678850980
119,marsabit,2.3284,37.9899,290.66,84,100,3.64,KE,1678851175
120,dangriga,16.9692,-88.2321,299.22,87,17,3.55,BZ,1678851176
121,saint-augustin,51.226,-58.6502,270.02,93,100,6.17,CA,1678851176
